Configuration,distance,transmitters,ber
Configuration.baseline,200,1,0.0
Configuration.baseline,200,2,0.0
Configuration.baseline,200,2,0.0
Configuration.baseline,200,2,0.0
Configuration.baseline,200,2,0.0
Configuration.baseline,200,2,0.0
Configuration.baseline,200,2,0.0
Configuration.baseline,200,2,0.0
Configuration.baseline,200,2,0.0
Configuration.baseline,200,2,0.0
Configuration.baseline,200,2,0.0
Configuration.baseline,200,3,0.0
Configuration.baseline,200,3,0.0
Configuration.baseline,200,3,0.0
Configuration.baseline,200,3,0.0
Configuration.baseline,200,3,0.0
Configuration.baseline,200,3,0.0
Configuration.baseline,200,3,0.0
Configuration.baseline,200,3,0.375
Configuration.baseline,200,3,0.0
Configuration.baseline,200,3,0.0
Configuration.baseline,200,4,0.0
Configuration.baseline,200,4,0.0
Configuration.baseline,200,4,0.0
Configuration.baseline,200,4,0.0
Configuration.baseline,200,4,0.0
Configuration.baseline,200,4,0.0
Configuration.baseline,200,4,0.0
Configuration.baseline,200,4,0.03125
Configuration.baseline,200,4,0.03125
Configuration.baseline,200,4,0.0
Configuration.baseline,200,1,0.0
Configuration.baseline,200,2,0.0
Configuration.baseline,200,2,0.0
Configuration.baseline,200,2,0.0
Configuration.baseline,200,2,0.0
Configuration.baseline,200,2,0.0
Configuration.baseline,200,2,0.0
Configuration.baseline,200,2,0.0
Configuration.baseline,200,2,0.0
Configuration.baseline,200,2,0.5
Configuration.baseline,200,2,0.0
Configuration.baseline,200,3,0.0
Configuration.baseline,200,3,0.0
Configuration.baseline,200,3,0.0
Configuration.baseline,200,3,0.0
Configuration.baseline,200,3,1.0
Configuration.baseline,200,3,0.0
Configuration.baseline,200,3,0.0
Configuration.baseline,200,3,0.0
Configuration.baseline,200,3,0.0
Configuration.baseline,200,3,0.0
Configuration.baseline,200,4,0.0
Configuration.baseline,200,4,0.0
Configuration.baseline,200,4,0.03125
Configuration.baseline,200,4,0.0
Configuration.baseline,200,4,0.0
Configuration.baseline,200,4,0.0
Configuration.baseline,200,4,0.0
Configuration.baseline,200,4,0.0
Configuration.baseline,200,4,0.0
Configuration.baseline,200,4,0.0
Configuration.baseline,200,1,0.0
Configuration.baseline,200,2,0.0
Configuration.baseline,200,2,0.0
Configuration.baseline,200,2,0.0
Configuration.baseline,200,2,0.0
Configuration.baseline,200,2,0.0
Configuration.baseline,200,2,0.0
Configuration.baseline,200,2,0.0
Configuration.baseline,200,2,0.0
Configuration.baseline,200,2,0.0
Configuration.baseline,200,2,0.0
Configuration.baseline,200,3,0.0
Configuration.baseline,200,3,0.0
Configuration.baseline,200,3,0.0
Configuration.baseline,200,3,0.40625
Configuration.baseline,200,3,0.0
Configuration.baseline,200,3,0.0
Configuration.baseline,200,3,0.0
Configuration.baseline,200,3,0.0
